$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra12/full/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra12/full/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra12/full/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:12:14 +0000: Memory Usage (129996K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:12:14 +0000: Memory Usage (129996K) : deep  mode is enabled.
2026-08-20 17:12:14 +0000: Memory Usage (129996K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:12:14 +0000: Memory Usage (131156K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra12/full/x.cdl
2026-08-20 17:12:14 +0000: Memory Usage (131156K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra12/full/lvs/driver_dut_extracted.cir
2026-08-20 17:12:14 +0000: Memory Usage (131156K) : Applying SRAM integration support.
2026-08-20 17:12:14 +0000: Memory Usage (131156K) : Starting SG13G2 LVS runset
2026-08-20 17:12:14 +0000: Memory Usage (131156K) : Read in polygons from layers.
2026-08-20 17:12:14 +0000: Memory Usage (132516K) : activ_drw has 899 polygons
2026-08-20 17:12:14 +0000: Memory Usage (132516K) : activ_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (132604K) : activ has 899 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_mask has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_iOPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : activ_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : biwind_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : biwind_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_drw has 140 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly has 140 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_pin has 119 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133116K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133244K) : cont_drw has 14577 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133244K) : cont_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133244K) : nsd_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133372K) : nsd_block has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133372K) : metal1_drw has 1558 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133500K) : metal1_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133500K) : metal1_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133628K) : metal1 has 1558 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133628K) : metal1_pin has 750 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133756K) : metal1_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (133756K) : metal1_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134012K) : metal1_text has 5 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134140K) : metal1_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134140K) : metal1_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134140K) : metal1_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134268K) : metal1_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134268K) : metal1_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134268K) : passiv_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134396K) : passiv_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134396K) : passiv_sbump has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134396K) : passiv_pillar has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134524K) : passiv_pdl has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134524K) : metal2_drw has 577 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134524K) : metal2_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134524K) : metal2_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134652K) : metal2 has 577 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134652K) : metal2_pin has 10 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134652K) : metal2_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134652K) : metal2_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134780K) : metal2_text has 3 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134780K) : metal2_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134780K) : metal2_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134780K) : metal2_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134908K) : metal2_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134908K) : metal2_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134908K) : baspoly_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (134908K) : baspoly_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135036K) : psd_drw has 515 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135036K) : nldb_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135036K) : digibnd_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135036K) : via1_drw has 7650 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135164K) : backmetal1_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135164K) : backmetal1_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135164K) : backmetal1_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135164K) : backmetal1_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135292K) : backmetal1_nofill has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135292K) : backmetal1_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135292K) : backmetal1_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135292K) : backmetal1_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135420K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135420K) : backmetal1_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135420K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135548K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135548K) : backpassiv_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135548K) : res_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135548K) : sram_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135676K) : trans_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135676K) : ind_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135676K) : ind_pin has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135804K) : ind_text has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135804K) : salblock_drw has 12 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135804K) : via2_drw has 852 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_drw has 72 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3 has 72 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_pin has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : metal3_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : nwell_drw has 14 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : nwell_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (135932K) : nwell_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : nbulay_drw has 1 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : nbulay_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : nbulay_block has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : emwind_drw has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : emwind_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136060K) : deepco_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136188K) : mim_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136188K) : edgeseal_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136188K) : substrate_drw has 500 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136188K) : substrate_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136188K) : dfpad_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136316K) : dfpad_pillar has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136316K) : dfpad_sbump has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136316K) : thickgateox_drw has 1 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136316K) : pldb_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136316K) : pwell_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : pwell_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : pwell_block has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : ic_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : via3_drw has 1065 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : metal4_drw has 35 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : metal4_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136444K) : metal4_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4 has 35 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4_text has 3 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136572K) : metal4_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : metal4_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : metal4_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : metal4_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : metal4_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : heattrans_drw has 123 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : heatres_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136700K) : fbe_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : empoly_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : digisub_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : text_drw has 655 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : via4_drw has 1059 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : metal5_drw has 67 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136828K) : metal5_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5 has 67 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (136956K) : metal5_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : metal5_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : metal5_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : metal5_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : metal5_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : metal5_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137084K) : radhard_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137212K) : memcap_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137212K) : varicap_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137212K) : intbondvia_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137212K) : intbondmet_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137340K) : devbondvia_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137340K) : devbondmet_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137340K) : devtrench_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137340K) : redist_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : graphbot_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : graphtop_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : antvia1_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : antmetal2_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : graphcont_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137468K) : siwg_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137596K) : siwg_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137596K) : siwg_nofill has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137596K) : sigrating_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137596K) : singrating_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137596K) : graphpas_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : emwind3_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : emwihv3_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : redbulay_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : smos_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : graphpad_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137724K) : polimide_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137852K) : polimide_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137852K) : recog_drw has 1 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137852K) : recog_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137852K) : recog_esd has 5 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137980K) : recog_diode has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137980K) : recog_tsv has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137980K) : recog_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (137980K) : recog_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138108K) : recog_pillar has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138108K) : recog_sbump has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138108K) : recog_otp has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138108K) : recog_pdiode has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138236K) : recog_mom has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138236K) : recog_momf has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138236K) : recog_pcm has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138236K) : colopen_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138364K) : graphmetal1_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138364K) : graphmetal1_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138364K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138364K) : graphmetal1_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138492K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138492K) : graphmet1l_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138492K) : graphmet1l_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138492K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138620K) : graphmet1l_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138620K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138620K) : extblock_drw has 6 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138620K) : nldd_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : pldd_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : next_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : pext_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : nexthv_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : pexthv_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138748K) : graphgate_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138876K) : sinwg_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138876K) : sinwg_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138876K) : sinwg_nofill has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138876K) : mempad_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (138876K) : topvia1_drw has 489 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1_drw has 62 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1 has 62 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139004K) : topmetal1_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139132K) : topmetal1_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139132K) : topmetal1_text has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139132K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139132K) : topmetal1_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139260K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139260K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139260K) : inldpwl_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139260K) : polyres_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139388K) : polyres_pin has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139388K) : vmim_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139388K) : nbulaycut_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139388K) : antmetal1_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139516K) : topvia2_drw has 235 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139644K) : topmetal2_drw has 71 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139772K) : topmetal2_filler has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139772K) : topmetal2_slit has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139772K) : topmetal2 has 71 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139772K) : topmetal2_pin has 4 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139900K) : topmetal2_mask has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139900K) : topmetal2_nofill has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (139900K) : topmetal2_text has 8 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140028K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140028K) : topmetal2_res has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140028K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140028K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140156K) : snsring_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140156K) : sensor_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140156K) : snsarms_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140284K) : snscmosvia_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140284K) : colwind_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : flm_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : hafniumox_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : memvia_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : thinfilmres_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : rfmem_drw has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_drw has 2 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2m3 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2m4 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2m5 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m3m4 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m3m5 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m4m5 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m1sub has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m2sub has 0 polygons
2026-08-20 17:12:14 +0000: Memory Usage (140412K) : norcx_m3sub has 0 polygons
