$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/vga_stage/vga_dut.gds --netlist=/workspace/layout/blocks/out/vga_stage/probe_arrays.cdl --run_dir=/workspace/layout/blocks/out/vga_stage/lvs_probe_arrays --run_mode=deep --topcell=vga_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 14:23:02 +0000: Memory Usage (130072K) : deep  mode is enabled.
2026-08-20 14:23:02 +0000: Memory Usage (130072K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 14:23:02 +0000: Memory Usage (130200K) : Netlist file: /workspace/layout/blocks/out/vga_stage/probe_arrays.cdl
2026-08-20 14:23:02 +0000: Memory Usage (130200K) : LVS extracted netlist at: /workspace/layout/blocks/out/vga_stage/lvs_probe_arrays/vga_dut_extracted.cir
2026-08-20 14:23:02 +0000: Memory Usage (130200K) : Applying SRAM integration support.
2026-08-20 14:23:02 +0000: Memory Usage (130200K) : Starting SG13G2 LVS runset
2026-08-20 14:23:02 +0000: Memory Usage (130200K) : Read in polygons from layers.
2026-08-20 14:23:02 +0000: Memory Usage (131140K) : activ_drw has 1117 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131140K) : activ_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ has 1117 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_iOPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : activ_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : biwind_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : biwind_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : gatpoly_drw has 174 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : gatpoly_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : gatpoly has 174 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131268K) : gatpoly_pin has 155 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131432K) : gatpoly_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : gatpoly_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : gatpoly_iOPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : gatpoly_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : cont_drw has 11626 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : cont_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : nsd_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : nsd_block has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_drw has 1939 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1 has 1939 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_pin has 962 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131816K) : metal1_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : metal1_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (131944K) : passiv_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132072K) : passiv_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132072K) : passiv_sbump has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132072K) : passiv_pillar has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132200K) : passiv_pdl has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132200K) : metal2_drw has 663 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132200K) : metal2_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132328K) : metal2_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132328K) : metal2 has 663 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132456K) : metal2_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132456K) : metal2_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132584K) : metal2_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132584K) : metal2_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132584K) : metal2_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132712K) : metal2_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132712K) : metal2_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132712K) : metal2_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132840K) : metal2_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132840K) : baspoly_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132840K) : baspoly_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132840K) : psd_drw has 652 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132840K) : nldb_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132968K) : digibnd_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132968K) : via1_drw has 7448 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132968K) : backmetal1_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (132968K) : backmetal1_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133096K) : backmetal1_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133096K) : backmetal1_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133096K) : backmetal1_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133224K) : backmetal1_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133224K) : backmetal1_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133224K) : backmetal1_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133224K) : backmetal1_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133224K) : backmetal1_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133352K) : backmetal1_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133352K) : backmetal1_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133352K) : backpassiv_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133480K) : res_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133480K) : sram_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133480K) : trans_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133480K) : ind_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133608K) : ind_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133608K) : ind_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133608K) : salblock_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133608K) : via2_drw has 17 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133608K) : metal3_drw has 16 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133736K) : metal3_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133736K) : metal3_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133736K) : metal3 has 16 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133864K) : metal3_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133864K) : metal3_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133864K) : metal3_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133864K) : metal3_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133992K) : metal3_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133992K) : metal3_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133992K) : metal3_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (133992K) : metal3_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : metal3_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nwell_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nwell_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nwell_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nbulay_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nbulay_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : nbulay_block has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : emwind_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : emwind_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : deepco_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : mim_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : edgeseal_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : substrate_drw has 652 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : substrate_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134120K) : dfpad_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134248K) : dfpad_pillar has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134248K) : dfpad_sbump has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134248K) : thickgateox_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134248K) : pldb_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134248K) : pwell_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : pwell_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : pwell_block has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : ic_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : via3_drw has 12 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : metal4_drw has 6 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134376K) : metal4_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134504K) : metal4_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134504K) : metal4 has 6 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134504K) : metal4_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134504K) : metal4_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134504K) : metal4_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134632K) : metal4_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134760K) : heattrans_drw has 155 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134760K) : heatres_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134760K) : fbe_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134760K) : empoly_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134760K) : digisub_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (134888K) : text_drw has 807 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : via4_drw has 12 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : metal5_drw has 8 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : metal5_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : metal5_slit has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : metal5 has 8 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135016K) : metal5_pin has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_mask has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_text has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_OPC has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_noqrc has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135144K) : metal5_res has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : metal5_iprobe has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : metal5_diffprb has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : radhard_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : memcap_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : varicap_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135272K) : intbondvia_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : intbondmet_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : devbondvia_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : devbondmet_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : devtrench_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : redist_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135400K) : graphbot_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : graphtop_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : antvia1_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : antmetal2_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : graphcont_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : siwg_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135528K) : siwg_filler has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : siwg_nofill has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : sigrating_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : singrating_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : graphpas_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : emwind3_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135656K) : emwihv3_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135784K) : redbulay_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135784K) : smos_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135784K) : graphpad_drw has 0 polygons
2026-08-20 14:23:02 +0000: Memory Usage (135784K) : polimide_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135784K) : polimide_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135784K) : recog_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135784K) : recog_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135784K) : recog_esd has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_diode has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_tsv has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_iprobe has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_diffprb has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_pillar has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (135912K) : recog_sbump has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136040K) : recog_otp has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136040K) : recog_pdiode has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136040K) : recog_mom has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136040K) : recog_momf has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136040K) : recog_pcm has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : colopen_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : graphmetal1_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : graphmetal1_filler has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : graphmetal1_nofill has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : graphmetal1_slit has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136168K) : graphmetal1_OPC has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : graphmet1l_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : graphmet1l_filler has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : graphmet1l_nofill has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : graphmet1l_slit has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : graphmet1l_OPC has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136296K) : extblock_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : nldd_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : pldd_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : next_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : pext_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : nexthv_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136424K) : pexthv_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136552K) : graphgate_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136552K) : sinwg_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136552K) : sinwg_filler has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136552K) : sinwg_nofill has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136552K) : mempad_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topvia1_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topmetal1_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topmetal1_filler has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topmetal1_slit has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topmetal1 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136680K) : topmetal1_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_mask has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_nofill has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_noqrc has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_res has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136808K) : topmetal1_iprobe has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : topmetal1_diffprb has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : inldpwl_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : polyres_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : polyres_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : vmim_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (136936K) : nbulaycut_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137064K) : antmetal1_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137064K) : topvia2_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137064K) : topmetal2_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137064K) : topmetal2_filler has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137192K) : topmetal2_slit has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137192K) : topmetal2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137192K) : topmetal2_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137192K) : topmetal2_mask has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137320K) : topmetal2_nofill has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137320K) : topmetal2_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137320K) : topmetal2_noqrc has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137320K) : topmetal2_res has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137320K) : topmetal2_iprobe has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137448K) : topmetal2_diffprb has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137448K) : snsring_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137576K) : sensor_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137576K) : snsarms_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137576K) : snscmosvia_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137576K) : colwind_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137704K) : flm_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137704K) : hafniumox_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137704K) : memvia_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137832K) : thinfilmres_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137832K) : rfmem_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137832K) : norcx_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137832K) : norcx_m2m3 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137960K) : norcx_m2m4 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137960K) : norcx_m2m5 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137960K) : norcx_m2tm1 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (137960K) : norcx_m2tm2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138088K) : norcx_m3m4 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138088K) : norcx_m3m5 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138216K) : norcx_m3tm1 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138216K) : norcx_m3tm2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138216K) : norcx_m4m5 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m4tm1 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m4tm2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m5tm1 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m5tm2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_tm1tm2 has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m1sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m2sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m3sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m4sub has 0 polygons
