$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_esd_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_esd_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_esd_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 18:57:06 +0000: Memory Usage (129860K) : Selected PARALLEL_RES option: true
2026-08-20 18:57:06 +0000: Memory Usage (129860K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 18:57:06 +0000: Memory Usage (129860K) : deep  mode is enabled.
2026-08-20 18:57:06 +0000: Memory Usage (129860K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 18:57:06 +0000: Memory Usage (130956K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_esd_no_ties/driver_dut.cdl
2026-08-20 18:57:06 +0000: Memory Usage (130956K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_esd_no_ties/lvs/driver_dut_extracted.cir
2026-08-20 18:57:06 +0000: Memory Usage (130956K) : Applying SRAM integration support.
2026-08-20 18:57:06 +0000: Memory Usage (130956K) : Starting SG13G2 LVS runset
2026-08-20 18:57:06 +0000: Memory Usage (130956K) : Read in polygons from layers.
2026-08-20 18:57:06 +0000: Memory Usage (132316K) : activ_drw has 893 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132316K) : activ_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ has 893 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_mask has 4 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_iOPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132444K) : activ_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (132532K) : biwind_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : biwind_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_drw has 123 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly has 123 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_pin has 119 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_iOPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : gatpoly_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : cont_drw has 13150 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : cont_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : nsd_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : nsd_block has 4 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_drw has 1515 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1 has 1515 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_pin has 746 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133044K) : metal1_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133428K) : metal1_text has 3 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133428K) : metal1_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133428K) : metal1_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133556K) : metal1_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133556K) : metal1_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133684K) : metal1_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133684K) : passiv_drw has 2 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133684K) : passiv_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133812K) : passiv_sbump has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133812K) : passiv_pillar has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133812K) : passiv_pdl has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133940K) : metal2_drw has 510 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133940K) : metal2_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (133940K) : metal2_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134068K) : metal2 has 510 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134068K) : metal2_pin has 10 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134196K) : metal2_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134196K) : metal2_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134196K) : metal2_text has 3 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134324K) : metal2_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134324K) : metal2_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134324K) : metal2_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134324K) : metal2_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134452K) : metal2_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134452K) : baspoly_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134452K) : baspoly_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134452K) : psd_drw has 514 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134580K) : nldb_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134580K) : digibnd_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134580K) : via1_drw has 6612 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134580K) : backmetal1_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134708K) : backmetal1_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134708K) : backmetal1_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134708K) : backmetal1_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134836K) : backmetal1_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134836K) : backmetal1_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134836K) : backmetal1_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134836K) : backmetal1_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134964K) : backmetal1_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134964K) : backmetal1_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134964K) : backmetal1_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (134964K) : backmetal1_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135092K) : backpassiv_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135092K) : res_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135092K) : sram_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135092K) : trans_drw has 2 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135220K) : ind_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135220K) : ind_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135220K) : ind_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135220K) : salblock_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135220K) : via2_drw has 12 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135348K) : metal3_drw has 13 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135348K) : metal3_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135348K) : metal3_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135476K) : metal3 has 13 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135476K) : metal3_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135476K) : metal3_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135476K) : metal3_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135604K) : metal3_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135604K) : metal3_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135604K) : metal3_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : metal3_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : metal3_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : metal3_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nwell_drw has 10 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nwell_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nwell_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nbulay_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nbulay_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : nbulay_block has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : emwind_drw has 4 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : emwind_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : deepco_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : mim_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : edgeseal_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : substrate_drw has 500 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : substrate_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135732K) : dfpad_drw has 2 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135860K) : dfpad_pillar has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135860K) : dfpad_sbump has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135860K) : thickgateox_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135860K) : pldb_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135860K) : pwell_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135988K) : pwell_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135988K) : pwell_block has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135988K) : ic_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135988K) : via3_drw has 997 polygons
2026-08-20 18:57:06 +0000: Memory Usage (135988K) : metal4_drw has 15 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4 has 15 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136116K) : metal4_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_text has 3 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136244K) : metal4_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : heattrans_drw has 123 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : heatres_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : fbe_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : empoly_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : digisub_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136372K) : text_drw has 645 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : via4_drw has 991 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5_drw has 16 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5 has 16 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136500K) : metal5_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136628K) : metal5_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : metal5_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : radhard_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : memcap_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : varicap_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : intbondvia_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136756K) : intbondmet_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : devbondvia_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : devbondmet_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : devtrench_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : redist_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : graphbot_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (136884K) : graphtop_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137012K) : antvia1_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137012K) : antmetal2_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137012K) : graphcont_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137012K) : siwg_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137012K) : siwg_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137140K) : siwg_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137140K) : sigrating_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137140K) : singrating_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137140K) : graphpas_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : emwind3_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : emwihv3_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : redbulay_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : smos_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : graphpad_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : polimide_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137268K) : polimide_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137396K) : recog_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137396K) : recog_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137396K) : recog_esd has 4 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137396K) : recog_diode has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137396K) : recog_tsv has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_pillar has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_sbump has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_otp has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137524K) : recog_pdiode has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : recog_mom has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : recog_momf has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : recog_pcm has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : colopen_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : graphmetal1_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137652K) : graphmetal1_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmetal1_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmetal1_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmetal1_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmet1l_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmet1l_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137780K) : graphmet1l_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137908K) : graphmet1l_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137908K) : graphmet1l_OPC has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137908K) : extblock_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137908K) : nldd_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (137908K) : pldd_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138036K) : next_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138036K) : pext_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138036K) : nexthv_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138036K) : pexthv_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138164K) : graphgate_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138164K) : sinwg_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138164K) : sinwg_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138164K) : sinwg_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : mempad_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : topvia1_drw has 473 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : topmetal1_drw has 47 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : topmetal1_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : topmetal1_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138292K) : topmetal1 has 47 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_text has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138420K) : topmetal1_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138548K) : topmetal1_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138548K) : topmetal1_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138548K) : inldpwl_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138548K) : polyres_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138548K) : polyres_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138676K) : vmim_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138676K) : nbulaycut_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138676K) : antmetal1_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138676K) : topvia2_drw has 227 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138804K) : topmetal2_drw has 43 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138804K) : topmetal2_filler has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138804K) : topmetal2_slit has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138804K) : topmetal2 has 43 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138932K) : topmetal2_pin has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138932K) : topmetal2_mask has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138932K) : topmetal2_nofill has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (138932K) : topmetal2_text has 6 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139060K) : topmetal2_noqrc has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139060K) : topmetal2_res has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139060K) : topmetal2_iprobe has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139188K) : topmetal2_diffprb has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139188K) : snsring_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139188K) : sensor_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139316K) : snsarms_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139316K) : snscmosvia_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139316K) : colwind_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139316K) : flm_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139444K) : hafniumox_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139444K) : memvia_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139444K) : thinfilmres_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139444K) : rfmem_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139572K) : norcx_drw has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139572K) : norcx_m2m3 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139572K) : norcx_m2m4 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139572K) : norcx_m2m5 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139700K) : norcx_m2tm1 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139700K) : norcx_m2tm2 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m3m4 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m3m5 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m3tm1 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m3tm2 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m4m5 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m4tm1 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m4tm2 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m5tm1 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m5tm2 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_tm1tm2 has 0 polygons
2026-08-20 18:57:06 +0000: Memory Usage (139828K) : norcx_m1sub has 0 polygons
