$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular2/full/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular2/full/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular2/full/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:22:27 +0000: Memory Usage (130176K) : deep  mode is enabled.
2026-08-20 17:22:27 +0000: Memory Usage (130176K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:22:27 +0000: Memory Usage (131424K) : Netlist file: /workspace/layout/blocks/out/driver_stage/granular2/full/driver_dut.cdl
2026-08-20 17:22:27 +0000: Memory Usage (131424K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/granular2/full/lvs/driver_dut_extracted.cir
2026-08-20 17:22:27 +0000: Memory Usage (131424K) : Applying SRAM integration support.
2026-08-20 17:22:27 +0000: Memory Usage (131424K) : Starting SG13G2 LVS runset
2026-08-20 17:22:27 +0000: Memory Usage (131424K) : Read in polygons from layers.
2026-08-20 17:22:27 +0000: Memory Usage (132468K) : activ_drw has 899 polygons
2026-08-20 17:22:27 +0000: Memory Usage (132560K) : activ_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ has 899 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_mask has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_iOPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : activ_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : biwind_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : biwind_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_drw has 140 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly has 140 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_pin has 119 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133200K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133328K) : cont_drw has 14577 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133456K) : cont_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133456K) : nsd_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133456K) : nsd_block has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133456K) : metal1_drw has 1566 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133584K) : metal1_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133584K) : metal1_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133712K) : metal1 has 1566 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133712K) : metal1_pin has 750 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133840K) : metal1_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (133840K) : metal1_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134224K) : metal1_text has 5 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134224K) : metal1_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134224K) : metal1_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134352K) : metal1_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134352K) : metal1_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134352K) : metal1_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134480K) : passiv_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134480K) : passiv_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134480K) : passiv_sbump has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134608K) : passiv_pillar has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134608K) : passiv_pdl has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134608K) : metal2_drw has 581 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134736K) : metal2_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134736K) : metal2_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134736K) : metal2 has 581 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134736K) : metal2_pin has 10 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134736K) : metal2_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134864K) : metal2_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134864K) : metal2_text has 3 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134864K) : metal2_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134864K) : metal2_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134992K) : metal2_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134992K) : metal2_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134992K) : metal2_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (134992K) : baspoly_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135120K) : baspoly_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135120K) : psd_drw has 515 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135120K) : nldb_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135120K) : digibnd_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135248K) : via1_drw has 7666 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135248K) : backmetal1_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135248K) : backmetal1_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135376K) : backmetal1_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135376K) : backmetal1_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135376K) : backmetal1_nofill has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135376K) : backmetal1_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135504K) : backmetal1_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135504K) : backmetal1_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135504K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135504K) : backmetal1_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135632K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135632K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135632K) : backpassiv_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135760K) : res_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135760K) : sram_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135760K) : trans_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135760K) : ind_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135888K) : ind_pin has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135888K) : ind_text has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135888K) : salblock_drw has 12 polygons
2026-08-20 17:22:27 +0000: Memory Usage (135888K) : via2_drw has 868 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_drw has 82 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3 has 82 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_pin has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136016K) : metal3_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nwell_drw has 14 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nwell_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nwell_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nbulay_drw has 1 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nbulay_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136144K) : nbulay_block has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136272K) : emwind_drw has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136272K) : emwind_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136272K) : deepco_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136272K) : mim_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136272K) : edgeseal_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : substrate_drw has 500 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : substrate_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : dfpad_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : dfpad_pillar has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : dfpad_sbump has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136400K) : thickgateox_drw has 1 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136528K) : pldb_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136528K) : pwell_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136528K) : pwell_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136528K) : pwell_block has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136528K) : ic_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : via3_drw has 1053 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : metal4_drw has 35 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : metal4_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : metal4_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : metal4 has 35 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136656K) : metal4_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_text has 3 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136784K) : metal4_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : metal4_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : heattrans_drw has 123 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : heatres_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : fbe_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : empoly_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (136912K) : digisub_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : text_drw has 655 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : via4_drw has 1047 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : metal5_drw has 67 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : metal5_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : metal5_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137040K) : metal5 has 67 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137168K) : metal5_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137296K) : metal5_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137296K) : metal5_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137296K) : metal5_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137296K) : radhard_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137296K) : memcap_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137424K) : varicap_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137424K) : intbondvia_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137424K) : intbondmet_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137424K) : devbondvia_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137552K) : devbondmet_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137552K) : devtrench_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137552K) : redist_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137552K) : graphbot_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137552K) : graphtop_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : antvia1_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : antmetal2_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : graphcont_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : siwg_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : siwg_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137680K) : siwg_nofill has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : sigrating_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : singrating_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : graphpas_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : emwind3_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : emwihv3_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137808K) : redbulay_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137936K) : smos_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137936K) : graphpad_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137936K) : polimide_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137936K) : polimide_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (137936K) : recog_drw has 1 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138064K) : recog_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138064K) : recog_esd has 5 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138064K) : recog_diode has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138064K) : recog_tsv has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138192K) : recog_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138192K) : recog_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138192K) : recog_pillar has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138192K) : recog_sbump has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138320K) : recog_otp has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138320K) : recog_pdiode has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138320K) : recog_mom has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138320K) : recog_momf has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138448K) : recog_pcm has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138448K) : colopen_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138448K) : graphmetal1_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138448K) : graphmetal1_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138576K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138576K) : graphmetal1_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138576K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138576K) : graphmet1l_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138704K) : graphmet1l_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138704K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138704K) : graphmet1l_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : extblock_drw has 6 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : nldd_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : pldd_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : next_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138832K) : pext_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138960K) : nexthv_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138960K) : pexthv_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138960K) : graphgate_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138960K) : sinwg_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (138960K) : sinwg_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : sinwg_nofill has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : mempad_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : topvia1_drw has 489 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : topmetal1_drw has 94 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : topmetal1_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139088K) : topmetal1_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139216K) : topmetal1 has 94 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139216K) : topmetal1_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139216K) : topmetal1_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139216K) : topmetal1_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139344K) : topmetal1_text has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139344K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139344K) : topmetal1_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139344K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139472K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139472K) : inldpwl_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139472K) : polyres_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139472K) : polyres_pin has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139472K) : vmim_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139600K) : nbulaycut_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139600K) : antmetal1_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139600K) : topvia2_drw has 239 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139728K) : topmetal2_drw has 75 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139728K) : topmetal2_filler has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139728K) : topmetal2_slit has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139856K) : topmetal2 has 75 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139856K) : topmetal2_pin has 4 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139856K) : topmetal2_mask has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139984K) : topmetal2_nofill has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139984K) : topmetal2_text has 8 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139984K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (139984K) : topmetal2_res has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140112K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140112K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140112K) : snsring_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140240K) : sensor_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140240K) : snsarms_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140240K) : snscmosvia_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140240K) : colwind_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140368K) : flm_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : hafniumox_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : memvia_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : thinfilmres_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : rfmem_drw has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_drw has 2 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2m3 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2m4 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2m5 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m3m4 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m3m5 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m4m5 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m1sub has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m2sub has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m3sub has 0 polygons
2026-08-20 17:22:27 +0000: Memory Usage (140496K) : norcx_m4sub has 0 polygons
