$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe11/esd_no_route/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe11/esd_no_route/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe11/esd_no_route/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:50:15 +0000: Memory Usage (129988K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:50:15 +0000: Memory Usage (129988K) : deep  mode is enabled.
2026-08-20 16:50:15 +0000: Memory Usage (129988K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:50:15 +0000: Memory Usage (131236K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe11/esd_no_route/t.cdl
2026-08-20 16:50:15 +0000: Memory Usage (131236K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe11/esd_no_route/lvs/driver_dut_extracted.cir
2026-08-20 16:50:15 +0000: Memory Usage (131236K) : Applying SRAM integration support.
2026-08-20 16:50:15 +0000: Memory Usage (131236K) : Starting SG13G2 LVS runset
2026-08-20 16:50:15 +0000: Memory Usage (131236K) : Read in polygons from layers.
2026-08-20 16:50:15 +0000: Memory Usage (132412K) : activ_drw has 899 polygons
2026-08-20 16:50:15 +0000: Memory Usage (132412K) : activ_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (132412K) : activ has 899 polygons
2026-08-20 16:50:15 +0000: Memory Usage (132504K) : activ_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : activ_mask has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : activ_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : activ_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : activ_iOPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : activ_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : biwind_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : biwind_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_drw has 140 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly has 140 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_pin has 119 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133016K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133144K) : cont_drw has 14577 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133144K) : cont_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133144K) : nsd_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133144K) : nsd_block has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133272K) : metal1_drw has 1550 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133272K) : metal1_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133400K) : metal1_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133400K) : metal1 has 1550 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133528K) : metal1_pin has 750 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133528K) : metal1_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133528K) : metal1_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133912K) : metal1_text has 5 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133912K) : metal1_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (133912K) : metal1_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134040K) : metal1_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134040K) : metal1_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134040K) : metal1_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134168K) : passiv_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134168K) : passiv_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134168K) : passiv_sbump has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134296K) : passiv_pillar has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134296K) : passiv_pdl has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134296K) : metal2_drw has 552 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134424K) : metal2_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134424K) : metal2_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134424K) : metal2 has 552 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134424K) : metal2_pin has 10 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134424K) : metal2_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134552K) : metal2_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134552K) : metal2_text has 3 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134552K) : metal2_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134552K) : metal2_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134680K) : metal2_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134680K) : metal2_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134680K) : metal2_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134808K) : baspoly_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134808K) : baspoly_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134808K) : psd_drw has 515 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134808K) : nldb_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134936K) : digibnd_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134936K) : via1_drw has 7634 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134936K) : backmetal1_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (134936K) : backmetal1_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135064K) : backmetal1_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135064K) : backmetal1_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135064K) : backmetal1_nofill has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135064K) : backmetal1_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135192K) : backmetal1_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135192K) : backmetal1_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135192K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135192K) : backmetal1_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135320K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135320K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135320K) : backpassiv_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135320K) : res_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135448K) : sram_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135448K) : trans_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135448K) : ind_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135576K) : ind_pin has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135576K) : ind_text has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135576K) : salblock_drw has 12 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135576K) : via2_drw has 821 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_drw has 50 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3 has 50 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_pin has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : metal3_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135704K) : nwell_drw has 14 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : nwell_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : nwell_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : nbulay_drw has 1 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : nbulay_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : nbulay_block has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135832K) : emwind_drw has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : emwind_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : deepco_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : mim_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : edgeseal_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : substrate_drw has 500 polygons
2026-08-20 16:50:15 +0000: Memory Usage (135960K) : substrate_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136088K) : dfpad_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136088K) : dfpad_pillar has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136088K) : dfpad_sbump has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136088K) : thickgateox_drw has 1 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136088K) : pldb_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : pwell_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : pwell_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : pwell_block has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : ic_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : via3_drw has 1030 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136216K) : metal4_drw has 27 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4 has 27 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136344K) : metal4_text has 3 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136472K) : metal4_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136472K) : metal4_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136472K) : metal4_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136472K) : metal4_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136472K) : metal4_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : heattrans_drw has 123 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : heatres_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : fbe_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : empoly_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : digisub_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136600K) : text_drw has 655 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : via4_drw has 1024 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : metal5_drw has 57 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : metal5_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : metal5_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : metal5 has 57 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136728K) : metal5_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136856K) : metal5_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136984K) : metal5_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136984K) : metal5_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136984K) : radhard_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136984K) : memcap_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (136984K) : varicap_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137112K) : intbondvia_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137112K) : intbondmet_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137112K) : devbondvia_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137112K) : devbondmet_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137240K) : devtrench_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137240K) : redist_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137240K) : graphbot_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137240K) : graphtop_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137240K) : antvia1_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137368K) : antmetal2_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137368K) : graphcont_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137368K) : siwg_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137368K) : siwg_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137368K) : siwg_nofill has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137496K) : sigrating_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137496K) : singrating_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137496K) : graphpas_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137496K) : emwind3_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137496K) : emwihv3_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : redbulay_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : smos_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : graphpad_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : polimide_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : polimide_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137624K) : recog_drw has 1 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137752K) : recog_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137752K) : recog_esd has 5 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137752K) : recog_diode has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137752K) : recog_tsv has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137880K) : recog_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137880K) : recog_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137880K) : recog_pillar has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (137880K) : recog_sbump has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138008K) : recog_otp has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138008K) : recog_pdiode has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138008K) : recog_mom has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138008K) : recog_momf has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138136K) : recog_pcm has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138136K) : colopen_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138136K) : graphmetal1_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138136K) : graphmetal1_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138264K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138264K) : graphmetal1_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138264K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138264K) : graphmet1l_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138392K) : graphmet1l_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138392K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138392K) : graphmet1l_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138392K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138520K) : extblock_drw has 6 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138520K) : nldd_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138520K) : pldd_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138520K) : next_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138520K) : pext_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : nexthv_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : pexthv_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : graphgate_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : sinwg_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : sinwg_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138648K) : sinwg_nofill has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138776K) : mempad_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138776K) : topvia1_drw has 482 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138776K) : topmetal1_drw has 55 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138776K) : topmetal1_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138776K) : topmetal1_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138904K) : topmetal1 has 55 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138904K) : topmetal1_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138904K) : topmetal1_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138904K) : topmetal1_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (138904K) : topmetal1_text has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139032K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139032K) : topmetal1_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139032K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139032K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139160K) : inldpwl_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139160K) : polyres_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139160K) : polyres_pin has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139160K) : vmim_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139288K) : nbulaycut_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139288K) : antmetal1_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139416K) : topvia2_drw has 236 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139416K) : topmetal2_drw has 72 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139416K) : topmetal2_filler has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139416K) : topmetal2_slit has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139544K) : topmetal2 has 72 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139544K) : topmetal2_pin has 4 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139544K) : topmetal2_mask has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139544K) : topmetal2_nofill has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139672K) : topmetal2_text has 8 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139672K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139672K) : topmetal2_res has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139672K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139800K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139800K) : snsring_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139800K) : sensor_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139800K) : snsarms_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139928K) : snscmosvia_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (139928K) : colwind_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : flm_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : hafniumox_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : memvia_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : thinfilmres_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : rfmem_drw has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_drw has 2 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2m3 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2m4 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2m5 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m3m4 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m3m5 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m4m5 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m1sub has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m2sub has 0 polygons
2026-08-20 16:50:15 +0000: Memory Usage (140056K) : norcx_m3sub has 0 polygons
