$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vdd_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vdd_only/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vdd_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:07:44 +0000: Memory Usage (129720K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:07:44 +0000: Memory Usage (129720K) : deep  mode is enabled.
2026-08-20 19:07:44 +0000: Memory Usage (129720K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:07:44 +0000: Memory Usage (130948K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vdd_only/driver_dut.cdl
2026-08-20 19:07:44 +0000: Memory Usage (130948K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vdd_only/lvs/driver_dut_extracted.cir
2026-08-20 19:07:44 +0000: Memory Usage (130948K) : Applying SRAM integration support.
2026-08-20 19:07:44 +0000: Memory Usage (130948K) : Starting SG13G2 LVS runset
2026-08-20 19:07:44 +0000: Memory Usage (130948K) : Read in polygons from layers.
2026-08-20 19:07:44 +0000: Memory Usage (132304K) : activ_drw has 893 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132304K) : activ_filler has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ has 893 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_pin has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_mask has 4 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_nofill has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_OPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_iOPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132432K) : activ_noqrc has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (132520K) : biwind_drw has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : biwind_OPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_drw has 123 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_filler has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly has 123 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_pin has 119 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_nofill has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_OPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : cont_drw has 13150 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : cont_OPC has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : nsd_drw has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : nsd_block has 4 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : metal1_drw has 1515 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : metal1_filler has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133032K) : metal1_slit has 0 polygons
2026-08-20 19:07:44 +0000: Memory Usage (133160K) : metal1 has 1515 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133160K) : metal1_pin has 746 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133160K) : metal1_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133160K) : metal1_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133544K) : metal1_text has 3 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133544K) : metal1_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133672K) : metal1_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133672K) : metal1_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133672K) : metal1_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133800K) : metal1_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133800K) : passiv_drw has 2 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133800K) : passiv_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133928K) : passiv_sbump has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133928K) : passiv_pillar has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (133928K) : passiv_pdl has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134056K) : metal2_drw has 521 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134056K) : metal2_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134056K) : metal2_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134184K) : metal2 has 521 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134184K) : metal2_pin has 10 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134312K) : metal2_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134312K) : metal2_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134312K) : metal2_text has 3 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134440K) : metal2_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134440K) : metal2_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134440K) : metal2_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134568K) : metal2_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134568K) : metal2_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134568K) : baspoly_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134568K) : baspoly_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134568K) : psd_drw has 514 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134696K) : nldb_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134696K) : digibnd_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134696K) : via1_drw has 6612 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134824K) : backmetal1_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134824K) : backmetal1_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134824K) : backmetal1_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134824K) : backmetal1_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134952K) : backmetal1_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134952K) : backmetal1_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134952K) : backmetal1_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (134952K) : backmetal1_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135080K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135080K) : backmetal1_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135080K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135080K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135208K) : backpassiv_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135208K) : res_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135208K) : sram_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135208K) : trans_drw has 2 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135336K) : ind_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135336K) : ind_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135336K) : ind_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135336K) : salblock_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135464K) : via2_drw has 23 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135464K) : metal3_drw has 13 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135464K) : metal3_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135464K) : metal3_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135592K) : metal3 has 13 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135592K) : metal3_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135592K) : metal3_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135720K) : metal3_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135720K) : metal3_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135720K) : metal3_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135720K) : metal3_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : metal3_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : metal3_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : metal3_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nwell_drw has 10 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nwell_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nwell_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nbulay_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nbulay_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : nbulay_block has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : emwind_drw has 4 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : emwind_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : deepco_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : mim_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : edgeseal_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : substrate_drw has 500 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135848K) : substrate_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : dfpad_drw has 2 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : dfpad_pillar has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : dfpad_sbump has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : thickgateox_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : pldb_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (135976K) : pwell_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136104K) : pwell_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136104K) : pwell_block has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136104K) : ic_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136104K) : via3_drw has 999 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136104K) : metal4_drw has 17 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136232K) : metal4_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136232K) : metal4_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136232K) : metal4 has 17 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136232K) : metal4_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136232K) : metal4_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_text has 3 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136360K) : metal4_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : heattrans_drw has 123 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : heatres_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : fbe_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : empoly_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : digisub_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136488K) : text_drw has 645 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : via4_drw has 993 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : metal5_drw has 16 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : metal5_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : metal5_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : metal5 has 16 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136616K) : metal5_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136744K) : metal5_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : metal5_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : metal5_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : radhard_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : memcap_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : varicap_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (136872K) : intbondvia_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : intbondmet_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : devbondvia_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : devbondmet_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : devtrench_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : redist_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137000K) : graphbot_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : graphtop_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : antvia1_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : antmetal2_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : graphcont_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : siwg_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137128K) : siwg_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137256K) : siwg_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137256K) : sigrating_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137256K) : singrating_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137256K) : graphpas_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : emwind3_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : emwihv3_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : redbulay_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : smos_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : graphpad_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137384K) : polimide_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : polimide_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : recog_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : recog_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : recog_esd has 4 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : recog_diode has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137512K) : recog_tsv has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_pillar has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_sbump has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_otp has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137640K) : recog_pdiode has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137768K) : recog_mom has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137768K) : recog_momf has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137768K) : recog_pcm has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137768K) : colopen_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137768K) : graphmetal1_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmetal1_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmetal1_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmet1l_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (137896K) : graphmet1l_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : graphmet1l_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : extblock_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : nldd_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138024K) : pldd_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138152K) : next_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138152K) : pext_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138152K) : nexthv_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138152K) : pexthv_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138280K) : graphgate_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138280K) : sinwg_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138280K) : sinwg_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138280K) : sinwg_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138280K) : mempad_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138408K) : topvia1_drw has 475 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138408K) : topmetal1_drw has 46 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138408K) : topmetal1_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138408K) : topmetal1_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138408K) : topmetal1 has 46 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_text has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138536K) : topmetal1_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : inldpwl_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : polyres_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : polyres_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138664K) : vmim_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138792K) : nbulaycut_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138792K) : antmetal1_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138792K) : topvia2_drw has 227 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138792K) : topmetal2_drw has 43 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138920K) : topmetal2_filler has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138920K) : topmetal2_slit has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138920K) : topmetal2 has 43 polygons
2026-08-20 19:07:45 +0000: Memory Usage (138920K) : topmetal2_pin has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139048K) : topmetal2_mask has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139048K) : topmetal2_nofill has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139048K) : topmetal2_text has 6 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139048K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139176K) : topmetal2_res has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139176K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139304K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139304K) : snsring_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139304K) : sensor_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139304K) : snsarms_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139432K) : snscmosvia_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139432K) : colwind_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139432K) : flm_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139560K) : hafniumox_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139560K) : memvia_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139560K) : thinfilmres_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139560K) : rfmem_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139688K) : norcx_drw has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139688K) : norcx_m2m3 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139688K) : norcx_m2m4 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139688K) : norcx_m2m5 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139816K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139816K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m3m4 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m3m5 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m4m5 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:07:45 +0000: Memory Usage (139944K) : norcx_m1sub has 0 polygons
